"Facility.Permit","Establishment.Name","Facility.Name","Facility.Unit.No","Facility.City","Facility.State","Facility.Zip","Business.Status","Facility.Type","Permit.Type","Web.Site","Operational.Status","Location","Latitude","Longitude"
104223,"KCI The Paradies Shop/KC Marketplace (KCI Terminal B)","KCI The Paradies Shop/KC Marketplace (KCI Terminal B)","","Kansas City","MISSOURI",64153,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","Kansas City International Airport",39.3023103,-94.7211899174345
105318,"KCI Fresh Attractions (Gate 31)","KCI Fresh Attractions (Gate 31)","","Kansas City","MISSOURI",64153,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","Kansas City International Airport",39.3023103,-94.7211899174345
105184,"Heavenly Olive Oils and Vinegars, Inc","Heavenly Olive Oils and Vinegars, Inc","","Kansas City","MISSOURI",64153,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","8601 NW 86th Terrace, Kansas City, MISSOURI 64153",39.2506103,-94.6885795
105188,"KCI Picnic Farmers Market # 2 (Gate 45)","KCI Picnic Farmers Market # 2 (Gate 45)","KCI Terminal B Gate 4","Kansas City","MISSOURI",64153,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","Kansas City International Airport",39.3023103,-94.7211899174345
105190,"KCI Local Rustic Kiosk (Gate 59)","KCI Local Rustic Kiosk (Gate 59)","","Kansas City","MISSOURI",64153,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","Kansas City International Airport",39.3023103,-94.7211899174345
105189,"KCI Farmer's Market (Gate 38)","KCI Farmer's Market (Gate 38)","Gate 38","Kansas City","MISSOURI",64153,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","Kansas City International Airport",39.3023103,-94.7211899174345
105197,"KCI Marche (Gate 82)","KCI Marche (Gate 82)","","Kansas City","MISSOURI",64153,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","Kansas City International Airport",39.3023103,-94.7211899174345
105198,"KCI Pronto (Gate 78)","KCI Pronto (Gate 78)","Gate 77","Kansas City","MISSOURI",64153,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","Kansas City International Airport",39.3023103,-94.7211899174345
106831,"Treat America @ Bayer - CK Kiosk","Treat America @ Bayer - CK Kiosk","","Kansas City","MISSOURI",64120,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","8400 Hawthorn, Kansas City, MISSOURI 64120",39.12759075,-94.4800257093092
106768,"Dollar General Store #13813","Dollar General Store #13813","","Kansas City","MISSOURI",64155,"Open","Retail Grocery/Market 3001-30000 sq. ft.","Retail Grocery/Market","","Operational","401 N Cookingham, Kansas City, MISSOURI 64155",39.3032306,-94.5113959
107452,"Walmart #2442 - Retail","Walmart #2442 - Retail","","Kansas City","MISSOURI",64119,"Open","Retail Grocery/Market 40001-60000 sq. ft.","Retail Grocery/Market","","Operational","5261 N. Antioch Rd, Kansas City, MISSOURI 64119",39.18998435,-94.5465618399231
107280,"Three-Nine Mini Mart","Three-Nine Mini Mart","","Kansas City ","MISSOURI",64130,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","3912, Indiana Avenue, Oak Park Southeast, Kansas City, Jackson County, Missouri, 64130, United States",39.0548106122449,-94.5444949183673
107424,"Swope Med Aramark","Swope Med Aramark","","Kansas City ","MISSOURI",64130,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","3801 Swope Pkwy, Kansas City, MISSOURI 64130",39.024995,-94.54136
107498,"KCI Delta Kiosk - Gate 50- Terminal B","KCI Delta Kiosk - Gate 50- Terminal B","","Kansas City","MISSOURI",64153,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","Kansas City International Airport",39.3023103,-94.7211899174345
108115,"KCI Gate 87","KCI Gate 87","","Kansas City","MISSOURI",64153,"Open","Retail Grocery/Market Under 3000 sq. ft.","Retail Grocery/Market","","Operational","Kansas City International Airport",39.3023103,-94.7211899174345
