"id"	"type"	"review"
226	"Pro"	"None, period."
227	"Pro"	"none"
228	"Pro"	"I'm still looking for one"
229	"Pro"	"cute, easy to use"
230	"Pro"	"Inexpensive, has many features more expensive cameras don't, intuitive interface"
231	"Pro"	"Specs sound good (better than reality)"
232	"Pro"	"Makes a good paperweight"
233	"Pro"	"NONE"
234	"Pro"	"Cheap"
235	"Pro"	"inexpensive, compact, and looks cool"
236	"Pro"	"cute design &amp;amp; obvious controls"
237	"Pro"	"Cheap, cute."
238	"Pro"	"priced for value"
239	"Pro"	"SMALL EASY TO CARRY"
240	"Pro"	"none"
241	"Pro"	"Low price"
242	"Pro"	"nice price, easy interface, many features"
243	"Pro"	"Lightweight, simple to use"
244	"Pro"	"low price"
245	"Pro"	"none"
246	"Pro"	"None"
247	"Pro"	"light weight, good construction"
248	"Pro"	"Cheap"
249	"Pro"	"pretty cheap, small, well labeled"
250	"Pro"	"Absolutely nothing"
251	"Pro"	"Small size, attractive design"
252	"Pro"	"It was cheap"
253	"Pro"	"Inexpensive and easy to use"
254	"Pro"	"Camera is cheap and functional with a couple of options."
255	"Pro"	"Nada"
256	"Pro"	"Good for scaring small children and a good gag gift."
257	"Pro"	"None"
258	"Pro"	"Compact, cheap, color, miraculously the software isn't buggy"
259	"Pro"	"Ease to use ..."
260	"Pro"	"small, light, good resolution, well priced"
261	"Pro"	"very small uncomplicated and very nice portable tool for graphics students"
262	"Pro"	"Superb Quality Pictures, LOW LOW PRICE, TRUE 1.3megapixel,  super portable"
263	"Pro"	"Small and very light."
264	"Pro"	"1.3MP digital camera, webcam, extremely small size, simple to use."
265	"Pro"	"Lightweight&amp;#13;&amp;#10;Good value&amp;#13;&amp;#10;Ultra fun"
266	"Pro"	"Surprisingly good pictures and video from this inexpensive tiny camera."
267	"Pro"	"Great quality photos."
268	"Pro"	"Great for email, short videos &amp; conference calling"
269	"Pro"	"""Spy camera"" size. Can go anywhere., , Good quality images."
270	"Pro"	"Tiny, decent photos, easy to use."
271	"Pro"	"Tiny Size, Inexpensive, Picture and Video Capture, Over 1 mp, Easy to use Software"
272	"Pro"	"easy-to-use, inexpensive, compact, marginal image quality"
273	"Pro"	"Excellent image quality, perfectly portable."
274	"Pro"	"digital camcorder ability, inexpensive, fun"
275	"Pro"	"Fits in your pocket, low cost, color photos, works independent of computer, adequate software included."
276	"Pro"	"Highly portable, runs on 2 AAA batteries, good for kitschy snapshots or mini-movies."
277	"Pro"	"As small as a large magic marker, good, simple e-camera to carry all the time."
278	"Pro"	"Small, Easy to Use, Cheap, Fun to Use, Bundled Software, Three Functions"
279	"Pro"	"Fun and Easy to use. Variety of modes."
280	"Pro"	"small, convinent , easy to use , high quality live imagez &amp; picturez"
281	"Pro"	"Easy to use, good interface&amp;#13;&amp;#10;great ""gadget"" appeal&amp;#13;&amp;#10;"
282	"Pro"	"very small, cool toy"
283	"Pro"	"Great software and easy to use."
284	"Pro"	"small and easy to use, Price"
285	"Pro"	"Compact size, easy to use, price, great software bundle.  Feels like you're James Bond."
286	"Pro"	"The 'continuous shoot' mode; compact size; instant snapshots."
287	"Pro"	"Compact,easy to use,cheap"
288	"Pro"	"its small"
289	"Pro"	"great camera highly recommend to all. easy  to use,awesome pictures"
290	"Pro"	"It's small and it's cheap"
291	"Pro"	"Cheap price for what it can do."
292	"Pro"	"small, can be used as still, movie or web camera, low price"
293	"Pro"	"Lightweight, easy to use, inexpensive, great for beginners."
294	"Pro"	"Photo output quality, fast printing speeds, Good Reliability"
295	"Pro"	"Great photo print quality, Reliable, Compact, Easy to use and set up"
296	"Pro"	"Fast printer, very good quality"
297	"Pro"	"Beautiful output even at low resolution, fast, easy setup"
298	"Pro"	"great quality and speed, good consumable value"
299	"Pro"	"Speedy, excellent quality"
300	"Pro"	"Fast, no paper jams, prints clearly"
301	"Pro"	"Fast PPM, Easy Set-up, Output is dry, great manual"
302	"Pro"	"Hello Hewlett Packard"
303	"Pro"	"Great quality and speed"
304	"Pro"	"Fast, sharp, reliable."
305	"Pro"	"Fast, excellent print quality."
306	"Pro"	"clear, sharp text and deep, rich color"
307	"Pro"	"Great Quality Prints, Super Fast"
308	"Pro"	"good color and very fast"
309	"Pro"	"Outstanding Quality"
310	"Pro"	"Print is life like"
311	"Pro"	"Good speed, good quality printer"
312	"Pro"	"Superior Quality,Razor-like sharpness, SPEED BABY !!!!!"
313	"Pro"	"Nice photos"
314	"Pro"	"photo quality printing on photo paper"
315	"Pro"	"Overall good printer"
316	"Pro"	"Fast, very high resolution"
317	"Pro"	"Unbeatable output"
318	"Pro"	"fast"
319	"Pro"	"Too many to list"
320	"Pro"	"high ink volume, extremely fast"
321	"Pro"	"great photo quality, fast, crisp b&amp;amp;w"
322	"Pro"	"Excellent print quality, fast, reliable, economy mode, Mac Serial, PC Parallel, and USB interfaces."
323	"Pro"	"Very fast, and verasitile... Photo quality results"
324	"Pro"	"Fast, good color, small margins."
325	"Pro"	"Fast, Easy, USB, Great Quality"
326	"Pro"	"Fast; photo quality; customizable software settings"
327	"Pro"	"Fast print speed.  High resolution.  Excellent warm tone rendition - low dither."
328	"Pro"	"Beautiful pictures, economical, a company that I trust"
329	"Pro"	"Fast, prints text great, works well with digital photos"
330	"Pro"	"fast, compact, east to load/unload ink"
331	"Pro"	"Fast, high quality, and a good small business printer"
332	"Pro"	"Terrific photo prints, faster than my HP 1000c and a lot less money."
333	"Pro"	"great quality print and speed for it's size"
334	"Pro"	"Easy to hook up"
335	"Pro"	"Easy install, great quality, HP durability"
336	"Pro"	"Ethernet capable, fast, high resolution output"
337	"Pro"	"VERY little maintenance"
338	"Pro"	"Good quality, fast and quet"
339	"Pro"	"Quick high quality output"
340	"Pro"	"ease of use, fast B/W prints, small driver footprint"
341	"Pro"	"Cost and Software Included"
342	"Pro"	"Good for the electronically challenged, Low Cost, Great Software,"
343	"Pro"	"Good for the electronically challenged, Low Cost, Great Software,"
344	"Pro"	"A Cheap, easy to use camera."
345	"Pro"	"A Cheap, easy to use camera."
346	"Pro"	"There isn't any."
347	"Pro"	"The software package has some good editing capabilities."
348	"Pro"	"Cheap, nice software package."
349	"Pro"	"Good starter camera for an older child, very inexpensive"
350	"Pro"	"Cheap, Great for child or e-bay pictures, etc. Software comes with it."
351	"Pro"	"Worked one time"
352	"Pro"	"Easy to use, affordable and does just what I wanted it to do!"
353	"Pro"	"Inexpensive, good for kids"
354	"Pro"	"Easy to use. Not very expensive."
355	"Pro"	"Cheap, easy to use, fun, makes videos"
356	"Pro"	"cheap"
357	"Pro"	"affordable,"
358	"Pro"	"It was on sale for $20."
359	"Pro"	"It's cheap and simple to use"
360	"Pro"	"cheap, very portable, if it breaks who cares."
361	"Pro"	"A Cheap, easy to use camera."
362	"Pro"	"Cheap"
363	"Pro"	"Holds about 80 pics in internal memory on lowest setting."
364	"Pro"	"Inexpensive"
365	"Pro"	"very inexpensive"
366	"Pro"	"Cheap.. umm.. is it a digital camera"
367	"Pro"	"Excellent bottom end camera,easy to operate,good pics too."
368	"Pro"	"Low Price, 1.3Mp image, ease of use,"
369	"Pro"	"Price w/rebates an offer you can't refuse"
370	"Pro"	"Inexpensive"
371	"Pro"	"Reasonable priced, easy to use, kid friendly"
372	"Pro"	"Strong flash, direct TV connection, Free photo editing software, above average pic quality"
373	"Pro"	"easy install and cheeeeeep"
374	"Pro"	"Cheap Price"
375	"Pro"	"easily turns, my baby fits comfertably!"
376	"Pro"	"Handles beautifully, lightweight"
377	"Pro"	"Lightweight, durable, fun"
378	"Pro"	"If you want a stroller for an active lifestyle this is the one and only"
379	"Pro"	"great item"
380	"Pro"	"Lightweight, comfortable to run behind, sturdy, easy to clean"
381	"Pro"	"Ease of use over a variety of surfaces."
382	"Pro"	"Very easy to walk with. My Daughter loves it"
383	"Pro"	"High Quality, Smooth Ride, Washable, Comfortable"
384	"Pro"	"durable and easy to maneuver"
385	"Pro"	"Super smooth, easy to assemble, comfortable for baby"
386	"Pro"	"Smoooooth ride.  Great restraint system."
387	"Pro"	"Great design, and wheels, comfortable, easy to push"
388	"Pro"	"This stroller is washable, and easy to use."
389	"Pro"	"Excellent to handle.  Comfortable ride.  The canopy is perfect for those really sunny days."
390	"Pro"	"Excellent for jogging with infants/toddlers. Well-made, excellent on rough terrain"
391	"Pro"	"tripod wheels, easy to push on all terrains."
392	"Pro"	"Great design, safe, durable, and comfortable"
393	"Pro"	"the best stroller for jogging and running, period."
394	"Pro"	"It is easy to use and works on all types of surfaces."
395	"Pro"	"Rolls easily over virtually all terrain, looks nice!"
396	"Pro"	"Solidly built, smooth ride, folds nicely"
397	"Pro"	"durability"
398	"Pro"	"Very Comfortable to use"
399	"Pro"	"It works..."
400	"Pro"	"great stroller"
401	"Pro"	"16"" wheels = smooth ride, easy to push even for a small person"
402	"Pro"	"Ideal for jogging and getting over rough terrain"
403	"Pro"	"smooth ride"
404	"Pro"	"You can run with a baby!"
405	"Pro"	"Sturdy, Durable, Easy to use"
406	"Pro"	"Everything"
407	"Pro"	"Rides smoothly over dirt, grass, small rocks, etc."
408	"Pro"	"Smooth running style"
409	"Pro"	"Great Concept, Simple Use, Good Storage, Comfy Fit"
410	"Pro"	"Awesome for taking toddler with you to exercise!"
411	"Pro"	"Get it if you have more kids"
412	"Pro"	"Really great stroller"
413	"Pro"	"VERY easy to manuever because of the large tires."
414	"Pro"	"Does not pull to the side, runs straight as an arrow, super lightweight"
415	"Pro"	"light, smooth ride"
416	"Pro"	"Steady, smooth riding,  good running stride space"
417	"Pro"	"strolls beautifully, lots of different choices"
418	"Pro"	"Runs smoothly, rugged."
419	"Pro"	"Extremely easy to break down"
420	"Pro"	"It is so lightweight and easy to use."
421	"Pro"	"3 wheels are better than 4"
422	"Pro"	"large tires, durability, comfort"
423	"Pro"	"Easy to push.  Gets you outside."
424	"Pro"	"Lightweight, easy to put together, literally glides"
425	"Pro"	"Ease of use, Strudy, Convient"
426	"Pro"	"Maneuverability, Lightweight"
427	"Pro"	"Lightweight, easy to maneuver, easy to put together."
428	"Pro"	"Stability, comfort"
429	"Pro"	"Too Many to List"
430	"Pro"	"Solid, simple, very good roller"
431	"Pro"	"Durable, lightweight, easy-to-setup"
432	"Pro"	"extremely easy to push over all surfaces, folds easily"
433	"Pro"	"Light, easy to steer"
434	"Pro"	"Lightweight and easy to push, great company, great warranty"
435	"Pro"	"easy to assemble and use, attractive, all-terrain"
436	"Pro"	"great for those adventures."
437	"Pro"	"comfortable and light weight"
438	"Pro"	"easy to steer, goes over any surface, has a hand brake and a &amp;quot;leash&amp;quot;"
439	"Pro"	"works well the first few months"
440	"Pro"	"great fun, accessible, tailored for mom's getting in shape"
441	"Pro"	"lightweight, comfortable for child"
442	"Pro"	"Very useful."
443	"Pro"	"three wheels"
444	"Pro"	"Very lightweight, easy to use, great safety straps, built to last."
445	"Pro"	"Very lightweight, sturdy, lifetime warranty, safe, American-made"
446	"Pro"	"ease of use"
447	"Pro"	"Extremely easy to push, well built"
448	"Pro"	"Folds up easily, runs smoothly, lets my son look around at the scenery."
449	"Pro"	"5 Point Harness. Easy folding. Great for small children all the way up to pre-teens!"
450	"Pro"	"Light weight."
451	"Pro"	"Great for walking/jogging on all terrains; lightweight; children's weight differences do not throw the stroller off."
452	"Pro"	"Very high quality, versatile and useful."
453	"Pro"	"Perfect for on-the-go"
454	"Pro"	"Lightweight, Good Quality, Easy to Maneuver"
455	"Pro"	"See Review for product comparisons"
456	"Pro"	"sturdy, stable, easy to collapse, lightweight,"
457	"Pro"	"The SUV of strollers.  It will go through anything."
458	"Pro"	"Lightweight for running,durable and great on trails."
459	"Pro"	"Absolutely wonderful for accommodating twins and their car seats with special attachment bar!"
460	"Pro"	"Maneuvers well, very good turning ration AND looks great"
461	"Pro"	"easy to steer, roomy seats"
462	"Pro"	"You can put a baby seat on the back seat, It is easy to push, it is very light weight"
463	"Pro"	"Really durable, takes abuse very well, remains comfy.Outstanding maneuverability"
464	"Pro"	"easy to push and turn, plenty of room for 2 children"
465	"Pro"	"large seats and basket, lightweight"
466	"Pro"	"durability, lightweight"
467	"Pro"	"Terrific design, carries infant car seat"
468	"Pro"	"Easy to push and turns great."
469	"Pro"	"can use as a travel system, easy to steer"
470	"Pro"	"cost effective, durable, reliable, wide wheel base, large seats, light weight."
471	"Pro"	"Easy to manuever"
472	"Pro"	"design"
473	"Pro"	"Can hold TWO infant car seats!"
474	"Pro"	"Light, plush, durable"
475	"Pro"	"Comfy and functional"
476	"Pro"	"ok storage, like the baby carseat snap-in feature"
477	"Pro"	"Works with a variety of cars eats, converts for older children"
478	"Pro"	"Very smooth ride"
479	"Pro"	"Can use with a variety of infant carseat/carriers"
480	"Pro"	"light, folds easily, nice materials, plushy seats, drives well"
481	"Pro"	"Very comfy for a toddler/infant combo."
482	"Pro"	"Clever idea, smaller than many tandem strollers"
483	"Pro"	"Really handy, great for our family"
484	"Pro"	"Versatile, easy to maneuver, and easy to open and close."
485	"Pro"	"great for the one not on the go and the one that is.&amp;#13;&amp;#10;"
486	"Pro"	"Great idea for 2 small children; can be used with infant carrier"
487	"Pro"	"Great for baby and toddler"
488	"Pro"	"&amp;quot;big kid&amp;quot; and newborn can ride together"
489	"Pro"	"not bulky like double strollers, not constricting for older kids"
490	"Pro"	"Offers convenience if you have older children"
491	"Pro"	"The stand up feature"
492	"Pro"	"looks, speed, fold up hoody-thing"
493	"Pro"	"accommodates 2 children, easy to fold and unfold"
494	"Pro"	"meets a unique need of families"
495	"Pro"	"Durable"
496	"Pro"	"The standing/sitting feature in the back, low price"
497	"Pro"	"Good for taking walks"
498	"Pro"	"Great for that child that thinks she is too big for a stroller"
499	"Pro"	"2 For 1"
500	"Pro"	"Great idea!"
501	"Pro"	"Great concept"
502	"Pro"	"maneuverability, versatility"
503	"Pro"	"sturdy durable easy assemble"
504	"Pro"	"Size, easy folding, price"
505	"Pro"	"Affordable, Easy to push, Nice and smooth ride"
506	"Pro"	"great idea, easy to fold"
507	"Pro"	"great for preschoolers"
508	"Pro"	"allows another small child to ride (without car seat attached)"
509	"Pro"	"good stroller for indoors, 2 lightweight children, no lifting of one child in and out"
510	"Pro"	"size, ability for older child to stand"
511	"Pro"	"Everything"
512	"Pro"	"compact size"
513	"Pro"	"take up less space than a regular double stroller"
514	"Pro"	"Small, Compact, Sits 2 children, Entertainment of older child"
515	"Pro"	"place for infant seat, reclining seat, seatbelts in every position"
516	"Pro"	"lightweight"
517	"Pro"	"Toddler security yet freedom!"
518	"Pro"	"Easily accessible rear seating for preschooler"
519	"Pro"	"Convenience"
520	"Pro"	"smaller than other double strollers."
521	"Pro"	"Not many...."
522	"Pro"	"Good idea"
523	"Pro"	"infant car seat attaches easily"
524	"Pro"	"None"
525	"Pro"	"Fun, Practical, Easy Drive"
526	"Pro"	"easy to use"
527	"Pro"	"Perfect for an infant and older toddler"
528	"Pro"	"Being able to &amp;quot;contain&amp;quot; an active preschooler"
529	"Pro"	"allows a child too big to sit in a stroller a chance to have a ride."
530	"Pro"	"Unique features, holds multiple children if necessary"
531	"Pro"	"Older child can sit or stand"
532	"Pro"	"high resale value"
533	"Pro"	"great for hauling the toddler and the baby"
534	"Pro"	"Very durable and easy to manuever"
535	"Pro"	"narrow, easy to get through doors and aisles"
536	"Pro"	"Ease of use, no assembly required, price"
537	"Pro"	"lightweight, sturdy, easy to push, options for older child"
538	"Pro"	"fits two with freedom for the older one!"
539	"Pro"	"Pushes easy,lets your child have a choice,use from birth until 5years old."
540	"Pro"	"Can fit 2 children"
541	"Pro"	"ADF, fast printing, excellent print quality"
542	"Pro"	"Great Price and Performance.  Real fast good quality copier for the money."
543	"Pro"	"Fast Printing, Great Printer, Good Quality, Work in Windows XP,Toner lasts a long time."
544	"Pro"	"A fast digital copier and laser printer"
545	"Pro"	"None!"
546	"Pro"	"Fast Digital Copies, Cheap Cartridge, Very Reliable"
547	"Pro"	"Can't beat it for the money."
548	"Pro"	"Ease of use, Price of toner, Quality of copies"
549	"Pro"	"Small size, inexpensive, ease of use"
550	"Pro"	"Good price, prints fast"
551	"Pro"	"2 sec warm up time. No paper jams. long lasting toner. crisp edges."
552	"Pro"	"speed, price"
553	"Pro"	"inexpensive, easy to use, reliable"
554	"Pro"	"Excellent Value.....Inexpensive not Cheap"
555	"Pro"	"Fast, reliable, not too expensive"
556	"Pro"	"Great Value, 12ppm, Decent Quality"
557	"Pro"	"Fast, reliable, cheap, good quality output."
558	"Pro"	"Fast, excellent quality and affordable."
559	"Pro"	"Good technical support (they need it); nice copies; price"
560	"Pro"	"Cheap, great performance, user-friendly."
561	"Pro"	"Good speed, nice output, can't beat the price"
562	"Pro"	"Low Cost, Attractive Design, Easy of Setup, Easy of use"
563	"Pro"	"Fast, easy, solid. Very inexpensive toner."
564	"Pro"	"Price, Set-up, Quality"
